"Id scheme 
","Assertion id 
","Status 
","#Coverage 
","#Applies to 
","Comment 
","Predicate 
","Page 
","Tags 
","Last changed 
","Actions 
"
IHEXDS,IHEXDS-116,, 1 , 0 ,,No ExternalIdentifier shall be present in an ExternalIdentifier,46,Section 4.2.3.1.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-117,, 1 , 0 ,,"the name of each slot shall be unique within the containing object (DocumentEntry, SubmissionSet, Folder, or Association)",52,Section 4.2.3.1.6,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-12,, 1 , 0 ,,"Not classification shall exist in the DocumentEntry.patientId (IHE_ITI_TF V3, 4.2.3.2.16)",71,Section 4.2.3.2.16,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-120,, 1 , 0 ,,"At most one classCode can be present on XDSOnDemandDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.3)",61,Section 4.2.3.2.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-121,, 1 , 0 ,,"entryUUID required on XDSOnDemandDocumentEntry (IHE_ITI_TF V3, 4.3.1.1)",102,Section 4.3.1.1,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-122,, 1 , 0 ,,"the formatCode is unique on XDSOnDemandDocumentEntry when present (IHE_ITI_TF V3, 4.2.3.2.9)",67,Section 4.2.3.2.9,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-123,, 1 , 0 ,,"healthCareFacilityTypeCode can have a single value on XDSOnDemandDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.11)",69,Section 4.2.3.2.11,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-124,, 1 , 0 ,,"languageCode shall have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.13)",70,Section 4.2.3.2.13,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-125,, 1 , 0 ,,"if present on XDSDocumentEntry, legalAuthenticator shall have a single value (IHE_ITI_TF V3, 4.2.3.2.14)",70,Section 4.2.3.2.14,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-126,, 1 , 0 ,,"mimeType is required on XDSDocumentEntry (IHE_ITI_TF V3, 4.3.1.1)",102,Section 4.3.1.1,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-127,, 1 , 0 ,,"PatientId is unique on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.22)",75,Section 4.2.3.2.22,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-129,, 1 , 0 ,,"serviceStartTime have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.19)",73,Section 4.2.3.2.19,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-13,, 1 , 0 ,,"Not externalIdentifier shall exist in the DocumentEntry.patientId (IHE_ITI_TF V3, 4.2.3.2.16)",71,Section 4.2.3.2.16,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-130,, 1 , 0 ,,"serviceStartTime required if known on XDSDocumentEntry(IHE_ITI_TF V3, 4.2.3.2.19)",73,Section 4.2.3.2.19,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-131,, 1 , 0 ,,"serviceStopTime have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.20)",74,Section 4.2.3.2.20,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-132,, 1 , 0 ,,"serviceStopTime required if known on XDSDocumentEntry (IHE_ITI_TF V3, 4.3.1.1)",102,Section 4.3.1.1,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-133,, 1 , 0 ,,"If present, size shall have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.21)",74,Section 4.2.3.2.21,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-134,, 1 , 0 ,,"sourcePatientId is unique on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.22)",75,Section 4.2.3.2.22,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-135,, 1 , 0 ,,"sourcePatientInfo shall have a single valueList, a single sourcePatientInfo may be present on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.23)",75,Section 4.2.3.2.23,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-136,, 1 , 0 ,,"if present, the title shall have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.24)",76,Section 4.2.3.2.24,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-137,, 1 , 0 ,,"typeCode is unique on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.25)",77,Section 4.2.3.2.25,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-138,, 1 , 0 ,,"uniqueId is required, and shall have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.26)",77,Section 4.2.3.2.26,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-139,, 1 , 0 ,,"URI shall have a single value if present on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.27)",78,Section 4.2.3.2.27,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-140,, 1 , 0 ,,"homeCommunityId must have an OID URN structure (IHE_ITI_TF V3, 4.2.3.2.12)",69,Section 4.2.3.2.12,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-141,, 1 , 0 ,,"legalAuthenticator must have the structure XCN if present (IHE_ITI_TF V3, 4.2.3.2.14)",70,Section 4.2.3.2.14,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-142,, 1 , 0 ,,"serviceStartTime metadata must have DTM structure(IHE_ITI_TF V3, 4.2.3.2.19)",73,Section 4.2.3.2.19,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-143,, 1 , 0 ,,"serviceStopTime metadata must have DTM structure (IHE_ITI_TF V3, 4.2.3.2.20)",74,Section 4.2.3.2.20,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-144,, 1 , 0 ,,"size metadata must be an integer (IHE_ITI_TF V3, 4.2.3.2.21)",74,Section 4.2.3.2.21,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-145,, 1 , 0 ,,"sourcePatientId metadata must have CX structure, with an ID and an AuthorityDomain, all other components shall be ommited (IHE_ITI_TF V3, 4.2.3.2.22)",75,Section 4.2.3.2.22,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-146,, 1 , 0 ,,"There shall be zero or one practiceSettingCode (IHE_ITI_TF V3, 4.2.3.2.17)",72,Section 4.2.3.2.17,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-147,, 1 , 0 ,,"the repositoryUniqueId has a max length of 64 characters (IHE_ITI_TF V3, 4.2.3.2.18)",73,Section 4.2.3.2.18,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-148,, 1 , 0 ,,"the repositoryUniqueId shall be an OID (IHE_ITI_TF V3, 4.2.3.2.18)",73,Section 4.2.3.2.18,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-149,, 1 , 0 ,,"referencedIdList metadata shall have the form CXi (IHE_ITI_TF V3, 4.2.3.2.28)",78,Section 4.2.3.2.28,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-15,, 1 , 0 ,,"At most one classCode can be present on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.3)",61,Section 4.2.3.2.3,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-150,to be reviewed, 1 , 0 ,,All IHE transactions that carry the RegistryError element shall return these attributes with each error reported. ,94,Section 4.2.4.1,7/3/15 2:32:00 PM  by ,
IHEXDS,IHEXDS-151,to be reviewed, 1 , 0 ,,The body of all RegistryError elements shall be empty ,94,Section 4.2.4.1,7/3/15 2:32:00 PM  by ,
IHEXDS,IHEXDS-152,to be reviewed, 1 , 0 ,,RegistryError SHALL have an attribute errorCode taken from Table 4.2.4.1-2 ,94,Section 4.2.4.1,7/3/15 2:32:00 PM  by ,
IHEXDS,IHEXDS-153,to be reviewed, 0 , 0 ,,RegistryError SHALL contain the attribute codeContext,94,Section 4.2.4.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-154,to be reviewed, 0 , 0 ,,RegistryError SHALL contain severity attribute,94,Section 4.2.4.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-154-2,to be reviewed, 0 , 0 ,,RegistryError/@severity shall be one of : oasis:names:tc:ebxml-regrep:ErrorSeverityType:Error / urn:oasis:names:tc:ebxml-regrep:ErrorSeverityType:Warning ,94,Section 4.2.4.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-155,to be reviewed, 0 , 0 ,,"RegistryError/@errorCode in ITI-41 response shall be from : DocumentQueued, InvalidDocumentContent, PartialAppendContentNotProcessed, PartialFolderContentNotProcessed, PartialReplaceContentNotProcessed, PartialTransformNotProcessed, PartialTransformReplaceNotProcessed, XDSDuplicateUniqueIdInRegistry, XDSExtraMetadataNotSaved, XDSMissingDocument, XDSMissingDocumentMetadata, XDSPatientIdDoesNotMatch, XDSRegistryBusy, XDSRepositoryBusy, XDSRegistryDeprecatedDocumentError, XDSRegistryDuplicateUniqueIdInMessage, XDSRepositoryDuplicateUniqueIdInMessage, XDSRegistryError, XDSRepositoryError, XDSRegistryMetadataError, XDSRepositoryMetadataError, XDSRegistryNotAvailable, XDSRegistryOutOfResources, XDSRepositoryOutOfResources, XDSUnknownPatientId",95,Table 4.2.4.1-2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-156,to be reviewed, 0 , 0 ,,"RegistryError/@errorCode in ITI-42 response shall be from : XDSDuplicateUniqueIdInRegistry, XDSExtraMetadataNotSaved, XDSNonIdenticalHash, XDSNonIdenticalSize , XDSPatientIdDoesNotMatch, XDSRegistryBusy, XDSRegistryDeprecatedDocumentError, XDSRegistryDuplicateUniqueIdInMessage, XDSRepositoryDuplicateUniqueIdInMessage, XDSRegistryError, XDSRegistryMetadataError, XDSRegistryOutOfResources, XDSUnknownPatientId",95,Table 4.2.4.1-2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-157,to be reviewed, 0 , 0 ,,"RegistryError/@errorCode in ITI-18 response shall be from : XDSMissingHomeCommunityId, XDSRegistryBusy, XDSRegistryError, XDSRegistryOutOfResources, XDSResultNotSinglePatient, XDSStoredQueryMissingParam, XDSStoredQueryParamNumber, XDSTooManyResults, XDSUnavailableCommunity, XDSUnknownCommunity, XDSUnknownStoredQuery",95,Table 4.2.4.1-2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-158,to be reviewed, 0 , 0 ,,"RegistryError/@errorCode in ITI-43 response shall be from : XDSDocumentUniqueIdError, XDSMissingHomeCommunityId, XDSRepositoryBusy, XDSRepositoryError, XDSRepositoryOutOfResources, XDSResultNotSinglePatient, XDSUnavailableCommunity, XDSUnknownCommunity, ",95,Table 4.2.4.1-2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-16,, 1 , 0 ,,"entryUUID is required on XDSDocumentEntry (IHE_ITI_TF V3, 4.3.1.1)",102,Section 4.3.1.1,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-160,to be reviewed, 0 , 0 ,,The RegistryError elements shall be contained within an ebXML RegistryErrorList element in the ebXML RegistryResponse or ebXML AdhocQueryResponse ,98,Section 4.2.4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-161,to be reviewed, 0 , 0 ,,The status attribute of the RegistryResponse or AdhocQueryResponse shall be one of the following values: urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Success urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Failure urn:ihe:iti:2007:ResponseStatusType:PartialSuccess,98,Section 4.2.4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-162,to be reviewed, 0 , 0 ,,"The highestSeverity attribute may be present in a RegistryErrorList. If present, it shall contain the severity of the most severe of the RegistryErrors in the RegistryErrorList ",98,Section 4.2.4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-163,to be reviewed, 0 , 0 ,,RegistryResponse status of ITI-41 SHALL be from : urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Success / urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Failure,99,Table 4.2.4.2-1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-164,to be reviewed, 0 , 0 ,,RegistryResponse status of ITI-42 SHALL be from : urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Success / urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Failure,99,Table 4.2.4.2-2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-165,to be reviewed, 0 , 0 ,,RegistryResponse status of ITI-18 SHALL be from : urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Success / urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Failure / urn:ihe:iti:2007:ResponseStatusType:PartialSuccess,99,Table 4.2.4.2-3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-165-2,to be reviewed, 0 , 0 ,,RegistryResponse status of ITI-43 SHALL be from :urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Success / urn:oasis:names:tc:ebxml-regrep:ResponseStatusType:Failure / urn:ihe:iti:2007:ResponseStatusType:PartialSuccess,100,Table 4.2.4.2-4,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-166,to be reviewed, 0 , 0 ,,Duplicate registration of a document - A document and its metadata are submitted to the XDS Document Repository as part of a Provide and Register Document Set [ITI-41] transaction. This document already exists in one or more Document Repositories and is already represented in the Document Registry. It is submitted with a new (not previously used) entryUUID for the DocumentEntry and associated ancillary objects. The Document Registry shall accept such duplicate registration of the documents,105,Section 4.3.1.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-167,to be reviewed, 0 , 0 ,,Duplicate document id submitted to repository - A document with its associated metadata is submitted to an XDS Document Repository. A document with the same DocumentEntry.uniqueId is present in the repository but the DocumentEntry.hash is different. This is an error and the Submission Request shall be rejected by the Document Repository. ,105,Section 4.3.1.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-168,to be reviewed, 0 , 0 ,,Duplicate document Id submitted to registry - Metadata representing a document (DocumentEntry) is part of a Registry Submission Request. A DocumentEntry object with the same uniqueId is present in the registry but the hash is different. This is an error and the Submission Request shall be rejected by the XDS Document Registry ,105,Section 4.3.1.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-169,to be reviewed, 0 , 0 ,,Registries shall only accept and produce lowercase UUIDs as specified in section 4.2.3.1.4. ,106,Section 4.3.1.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-17,, 1 , 0 ,,"the formatCode is unique on XDSDocumentEntry when present (IHE_ITI_TF V3, 4.2.3.2.9)",67,Section 4.2.3.2.9,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-170,to be reviewed, 0 , 0 ,,"If any part of the Submission Request Processing fails, the entire transaction shall fail and no changes result ",106,Section 4.3.1.2.3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-171,to be reviewed, 0 , 0 ,,"If an error occurs, storing documents in the repository then all documents stored as part of the Repository Submission Request shall be removed",106,Section 4.3.1.2.3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-172,to be reviewed, 0 , 0 ,,"If an error occurs, storing metadata in the Document Registry, then the following actions shall be performed: All metadata stored as part of the Registry Submission Request shall be removed from the Document Registry All documents stored as part of the Repository Submission Request shall be removed. This only applies if the Registry Submission Request is a result of a Repository Submission Request.",106,Section 4.3.1.2.3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-173,to be reviewed, 0 , 0 ,,The Document Registry performs validation as specified below: Validate patient Id Validate submitted metadata Verify coded values Ensure submissions are atomic Support Folder membership Support document relationship associations Support document replacement Validate patientIds in Folders Validate patientId in SubmissionSets Validate MIME types Maintain Folder attribute lastUpdateTime Validate patientId on documents being added to a Folder Accept submissions containing multiple ,109,Section 4.3.1.2.5,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-18,, 1 , 0 ,,"If present on XDSDocumentEntry, hash metadata shall have a single value (IHE_ITI_TF V3, 4.2.3.2.10)",68,Section 4.2.3.2.10,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-180,to be reviewed, 0 , 0 ,,"A SubmissionSet shall be the source of at least one Association of type SS-FD HasMember, SS-HM HasMember, and/or SS-DE HasMember ",6,Section 4.1.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-181,to be reviewed, 0 , 0 ,,All DocumentEntries in a Folder shall be for the same patient,6,Section 4.1.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-182,to be reviewed, 0 , 0 ,,There are two XDSDocumentEntry Types: Stable Document Entry and On-Demand Document Entry ,6,Section 4.1.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-183,to be reviewed, 0 , 0 ,,"There are four variants of the HasMember Association depending on the types of the source and target object : SS-FD HasMember, FD-DE HasMember, SS-HM HasMember, SS-DE HasMember",8,Section 4.1.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-184,to be reviewed, 0 , 0 ,,"There are five variants of Relationship based on the type of relationship between the DocumentEntry objects : Replace , Transform , Append , Transform and Replace , Signs ",8,Section 4.1.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-185,to be reviewed, 0 , 0 ,,The DocumentEntry object type is modeled through the rim:ExtrinsicObject class,15,Section 4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-186,to be reviewed, 0 , 0 ,,The SubmissionSet and Folder object types are conveyed through the rim:RegistryPackage class,15,Section 4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-187,to be reviewed, 0 , 0 ,,The HasMember and Relationship Association concepts are conveyed through the rim:Association clas s,15,Section 4.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-188,to be reviewed, 0 , 0 ,,The value of the patientId attribute of the DocumentEntry objects that a SubmissionSet contains shall match the value of the patientId attribute on the SubmissionSet itself ,19,Section 4.2.1.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-189,to be reviewed, 0 , 0 ,,A SubmissionSet object shall be created from a RegistryPackage element by labeling it with a Classification of type urn:uuid:a54d6aa5-d40d-43f9-88c5-b4633d873bdd ,19,Section 4.2.1.2.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-19,, 1 , 0 ,"This is related to the phrase ""There shall be zero or one ebRIM Classification containing a healthcareFacilityTypeCode""","healthCareFacilityTypeCode can have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.11)",69,Section 4.2.3.2.11,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-190,to be reviewed, 0 , 0 ,,A receiver of metadata shall accept the Classification element encoded within the RegistryPackage element or on the same level as the RegistryPackage .,19,Section 4.2.1.2.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-191,to be reviewed, 0 , 0 ,,"Classification shall not contain other Slot, Name, Description, Classification, or External Identifier elements except as described in table in paragraph 4.2.1.2.1",20,Section 4.2.1.2.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-192,to be reviewed, 0 , 0 ,,Folders shall not be nested inside other Folders ,21,Section 4.2.1.3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-193,to be reviewed, 0 , 0 ,,The value of the patientId attribute of the DocumentEntry objects contained in a XDSFolder shall match the value of the patientId attribute on the folder itself. ,21,Section 4.2.1.3,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-194,to be reviewed, 0 , 0 ,,A Folder object shall be created from a RegistryPackage element by labeling it with a Classification of type urn:uuid:d9d542f3-6cc4-48b6-8870-ea235fbc94c2 ,21,Section 4.2.1.3.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-195,to be reviewed, 0 , 0 ,,A receiver of Folder metadata shall accept the Classification element encoded within the RegistryPackage element or on the same level,21,Section 4.2.1.3.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-196,to be reviewed, 0 , 0 ,,"This Classification shall not contain other Slot, Name, Description, Classification, or External Identifier elements except as described in paragraph 4.2.1.3.1",22,Section 4.2.1.3.1,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-197,to be reviewed, 0 , 0 ,,"In submission requests and query responses, a Registry Object List contains a list of Folders, SubmissionSets, DocumentEntries and Associations",22,Section 4.2.1.4,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-198,to be reviewed, 0 , 0 ,,Associations can be used to build relationships between: A SubmissionSet and a DocumentEntry SS-DE HasMember A SubmissionSet and a Folder SS-FD HasMember A Folder and a DocumentEntry FD-DE HasMember A SubmissionSet and an Association SS-HM HasMember A DocumentEntry and another DocumentEntry Relationship ,23,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-199,to be reviewed, 0 , 0 ,,"Once deprecated, a DocumentEntry shall not be referenced by future associations ",23,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-2,, 1 , 0 ,,"If present, the author attribute in a XDSDocumentEntry bshall have at least an authorPerson, authorTelecommunication or authorInstitution (IHE_ITI_TF V3, 4.2.3.1.4)",48,Section 4.2.3.1.4,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-20,, 1 , 0 ,"Related to the sentence : ""The value is coded as a single value within an ebRIM Slot in the DocumentEntry.""","XDSDocumentEntry.languageCode shall have a single value on XDSDocumentEntry (IHE_ITI_TF V3, 4.2.3.2.13)",70,Section 4.2.3.2.13,2/24/15 5:36:05 PM  by jlabbe,
IHEXDS,IHEXDS-200,to be reviewed, 0 , 0 ,,All Associations shall have an id (entryUUID) attribute ,24,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-201,to be reviewed, 0 , 0 ,,Associations have 3 other required attributes (other than the identifier id) (see Figure 4.2.2-1): sourceObject targetObject associationType,24,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-202,to be reviewed, 0 , 0 ,,An Association type shall be specified as a URN ,25,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-20-2,to be reviewed, 0 , 0 ,,XDSDocumentEntry.languageCode has a max length of 256 characters,70,Section 4.2.3.2.13,3/20/15 11:59:23 AM  by aboufahj,
IHEXDS,IHEXDS-203,to be reviewed, 0 , 0 ,,"In Association, the sourceObject and targetObject are UUID or symbolic format depending on where they are used. Symbolic format is allowable only in submissions. The status attribute shall not be submitted but shall be returned from queries",25,Section 4.2.2,3/20/15 11:59:23 AM  by aboufahj,
